MAC address,First time, Last time, Time on network
2c:76:8a:3c:ac:a1,83.666245000,365.567988000,281.901743
01:80:c2:a6:cf:d0,16.722489000,406.710891000,389.988402
1c:c1:de:53:ab:01,25.617220000,219.915435000,194.298215
00:50:56:40:49:8a,65.176105000,362.240206000,297.064101
01:80:c2:ac:de:61,0.332884000,414.320677000,413.987793
a0:d3:c1:72:b5:d7,10.995265000,371.845789000,360.850524
a0:d3:c1:a9:30:85,7.544027000,373.001771000,365.457744
a0:d3:c1:11:8d:89,12.723555000,397.897075000,385.17352
1c:c1:de:eb:6b:17,46.839181000,48.363141000,1.52396
00:50:56:5d:14:89,132.137786000,132.137786000,0.0
a0:d3:c1:b6:28:f3,27.784561000,360.528353000,332.743792
00:50:56:2c:17:00,65.129485000,334.910051000,269.780566
a0:d3:c1:d7:0f:17,27.901082000,362.057012000,334.15593
01:00:0c:6e:08:97,46.721492000,406.710892000,359.9894
1c:c1:de:9f:22:ad,147.946505000,385.369234000,237.422729
a0:d3:c1:78:ce:9d,23.346061000,352.970692000,329.624631
d8:9d:67:c2:3e:48,350.694599000,350.694599000,0.0
00:17:a4:db:00:6a,262.975298000,263.070663000,0.095365
1c:c1:de:3a:e1:9e,32.167759000,389.746797000,357.579038
01:00:5e:eb:3b:fa,135.872450000,404.346171000,268.473721
2c:76:8a:56:5d:dc,0.000000000,415.114249000,415.114249
02:01:d7:f9:31:1d,0.000000000,412.326451000,412.326451
1c:c1:de:c9:ad:07,174.879036000,243.506668000,68.627632
a0:d3:c1:75:05:f7,10.883147000,362.048389000,351.165242
1c:c1:de:87:51:1f,312.465519000,312.465519000,0.0
01:80:c2:39:07:43,19.052189000,409.040773000,389.988584
00:50:56:59:31:af,0.880508000,414.934673000,414.054165
2c:44:fd:0c:92:89,20.080991000,360.100409000,340.019418
a0:d3:c1:d5:cd:a3,16.486497000,317.281391000,300.794894
1c:c1:de:f8:16:52,275.260709000,383.834507000,108.573798
00:50:56:76:10:5a,65.031474000,364.648615000,299.617141
1c:c1:de:fb:a2:df,214.829287000,263.585742000,48.756455
a0:d3:c1:68:f9:f6,5.901264000,385.491457000,379.590193
1c:c1:de:35:6c:f2,298.637826000,298.637826000,0.0
a0:d3:c1:76:7c:e6,27.561249000,397.724713000,370.163464
1c:c1:de:2d:6a:ac,275.358499000,415.765136000,140.406637
00:17:a4:5e:02:b9,58.024377000,400.473732000,342.449355
a0:d3:c1:1c:01:c4,27.217728000,379.719357000,352.501629
a0:d3:c1:b8:7e:6a,8.997722000,373.512275000,364.514553
1c:c1:de:42:8f:5f,270.501631000,270.501631000,0.0
1c:c1:de:cd:19:cc,135.872450000,273.547007000,137.674557
00:23:e9:b7:cc:36,0.195204000,414.859265000,414.664061
1c:c1:de:85:74:08,158.864511000,400.456553000,241.592042
1c:c1:de:e5:c7:b3,98.090646000,98.090646000,0.0
a0:d3:c1:6d:57:52,14.093340000,411.607851000,397.514511
00:23:e9:07:09:de,0.168428000,415.114249000,414.945821
1c:c1:de:60:00:56,361.537991000,375.194989000,13.656998
00:50:56:95:8f:41,77.793684000,363.596588000,285.802904
00:17:a4:17:3a:fc,2.536515000,365.547483000,363.010968
a0:d3:c1:b8:45:63,17.324609000,391.878645000,374.554036
a0:d3:c1:5d:92:03,11.063682000,333.731848000,322.668166
2c:76:8a:f7:f0:80,2.537534000,365.550593000,363.013059
a0:d3:c1:b4:96:e9,7.019898000,373.541545000,366.521647
2c:44:fd:82:74:0f,7.142337000,392.789597000,385.64726
ac:16:2d:a8:c8:87,84.236663000,324.255060000,240.018397
01:00:1d:e1:3b:72,46.721487000,406.710889000,359.989402
00:23:e9:9b:a2:70,2.260201000,412.667952000,410.407751
2c:44:fd:33:d4:34,27.490935000,391.712808000,364.221873
00:11:88:bf:ad:11,0.332884000,416.021217000,415.688333
a0:d3:c1:95:07:ba,6.000225000,391.561950000,385.561725
00:23:e9:3a:0c:67,0.197476000,412.032277000,411.834801
01:80:c2:24:6a:44,6.033485000,416.021217000,409.987732
1c:c1:de:d0:de:0d,237.849028000,391.125709000,153.276681
