T, Number of leaves
0,8
1,8
2,11
3,11
4,11
5,12
6,14
7,17
8,18
9,18
10,20
11,21
12,22
13,22
14,23
15,23
16,25
17,26
18,26
19,27
20,28
21,28
22,28
23,29
24,29
25,30
26,30
27,35
28,35
29,35
30,35
31,35
32,36
33,36
34,36
35,36
36,36
37,36
38,36
39,36
40,36
41,36
42,36
43,36
44,36
45,36
46,39
47,39
48,39
49,38
50,38
51,38
52,38
53,38
54,38
55,38
56,38
57,38
58,39
59,39
60,39
61,39
62,39
63,39
64,39
65,42
66,42
67,42
68,42
69,42
70,42
71,42
72,42
73,42
74,42
75,42
76,42
77,43
78,43
79,43
80,43
81,43
82,43
83,44
84,45
85,45
86,45
87,45
88,45
89,45
90,45
91,45
92,45
93,45
94,45
95,45
96,45
97,45
98,46
99,45
100,45
101,45
102,45
103,45
104,45
105,45
106,45
107,45
108,45
109,45
110,45
111,45
112,45
113,45
114,45
115,45
116,45
117,45
118,45
119,45
120,45
121,45
122,45
123,45
124,45
125,45
126,45
127,45
128,45
129,45
130,45
131,45
132,46
133,45
134,45
135,47
136,47
137,47
138,47
139,47
140,47
141,47
142,47
143,47
144,47
145,47
146,47
147,48
148,48
149,48
150,48
151,48
152,48
153,48
154,48
155,48
156,48
157,48
158,49
159,49
160,49
161,49
162,49
163,49
164,49
165,49
166,49
167,49
168,49
169,49
170,49
171,49
172,49
173,49
174,50
175,50
176,50
177,50
178,50
179,50
180,50
181,50
182,50
183,50
184,50
185,50
186,50
187,50
188,50
189,50
190,50
191,50
192,50
193,50
194,50
195,50
196,50
197,50
198,50
199,50
200,50
201,50
202,50
203,50
204,50
205,50
206,50
207,50
208,50
209,50
210,50
211,50
212,50
213,50
214,51
215,51
216,51
217,51
218,51
219,51
220,50
221,50
222,50
223,50
224,50
225,50
226,50
227,50
228,50
229,50
230,50
231,50
232,50
233,50
234,50
235,50
236,50
237,51
238,51
239,51
240,51
241,51
242,51
243,51
244,50
245,50
246,50
247,50
248,50
249,50
250,50
251,50
252,50
253,50
254,50
255,50
256,50
257,50
258,50
259,50
260,50
261,50
262,51
263,51
264,49
265,49
266,49
267,49
268,49
269,49
270,50
271,49
272,49
273,49
274,48
275,50
276,50
277,50
278,50
279,50
280,50
281,50
282,50
283,50
284,50
285,50
286,50
287,50
288,50
289,50
290,50
291,50
292,50
293,50
294,50
295,50
296,50
297,50
298,51
299,50
300,50
301,50
302,50
303,50
304,50
305,50
306,50
307,50
308,50
309,50
310,50
311,50
312,51
313,50
314,50
315,50
316,50
317,50
318,49
319,49
320,49
321,49
322,49
323,49
324,49
325,48
326,48
327,48
328,48
329,48
330,48
331,48
332,48
333,48
334,47
335,46
336,46
337,46
338,46
339,46
340,46
341,46
342,46
343,46
344,46
345,46
346,46
347,46
348,46
349,46
350,47
351,46
352,46
353,45
354,45
355,45
356,45
357,45
358,45
359,45
360,45
361,44
362,44
363,41
364,40
365,39
366,36
367,36
368,36
369,36
370,36
371,36
372,35
373,35
374,32
375,32
376,31
377,31
378,31
379,31
380,30
381,30
382,30
383,30
384,29
385,29
386,27
387,27
388,27
389,27
390,26
391,26
392,22
393,21
394,21
395,21
396,21
397,21
398,19
399,19
400,19
401,17
402,17
403,17
404,17
405,16
406,16
407,13
408,13
409,13
410,12
411,12
412,11
413,8
414,8
415,5
416,2
